loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state
15000,15000,15000, 36 months,8.19,471.37,A,A4,,,RENT,71000,Verified,Dec-18,Current,credit_card,Credit card refinancing,968xx,HI
28000,28000,28000, 60 months,16.14,683,C,C4,Bus Operator,5 years,MORTGAGE,52000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,974xx,OR
5500,5500,5500, 36 months,11.31,180.88,B,B3,,,MORTGAGE,30000,Not Verified,Dec-18,Current,car,Car financing,897xx,NV
4400,4400,4400, 36 months,20.89,165.53,D,D4,,,MORTGAGE,48000,Source Verified,Dec-18,Current,home_improvement,Home improvement,062xx,CT
16000,16000,16000, 36 months,13.56,543.43,C,C1,Sr. Accountant,2 years,RENT,78000,Verified,Dec-18,Current,credit_card,Credit card refinancing,913xx,CA
10000,10000,10000, 36 months,8.81,317.12,A,A5,"associate manager, marketing",4 years,RENT,80000,Not Verified,Dec-18,Current,moving,Moving and relocation,900xx,CA
20000,20000,20000, 60 months,11.8,442.88,B,B4,Nurse Manager,10+ years,MORTGAGE,108000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,775xx,TX
15000,15000,15000, 36 months,12.98,505.27,B,B5,Pharmacy Technichian,10+ years,MORTGAGE,55000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,792xx,TX
10000,10000,10000, 36 months,8.19,314.25,A,A4,,< 1 year,MORTGAGE,120000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,313xx,GA
26500,26500,26500, 60 months,15.02,630.72,C,C3,Fleet tech  ,< 1 year,RENT,60000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,330xx,FL
35000,35000,35000, 36 months,8.81,1109.9,A,A5,Marketing Manager,5 years,MORTGAGE,280000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,921xx,CA
12500,12500,12500, 36 months,8.19,392.81,,,Operations Supervisor,6 years,MORTGAGE,69000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,444xx,OH
27000,27000,27000, 36 months,7.02,833.93,A,A2,Senior Payroll Manager,1 year,RENT,144000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,208xx,MD
25000,25000,25000, 60 months,16.91,620.11,C,C5,Lighting Controls Specialist,7 years,RENT,77000,Not Verified,Dec-18,Current,car,Car financing,781xx,TX
1500,1500,1500, 36 months,15.02,52.02,C,C3,Administrative assistant,4 years,RENT,29000,Source Verified,Dec-18,Current,major_purchase,Major purchase,446xx,OH
20000,20000,20000, 36 months,11.31,657.72,B,B3,Office Manager,2 years,OWN,70000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,949xx,CA
10500,10500,10500, 36 months,8.19,329.96,A,A4,Producer,< 1 year,RENT,104000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,112xx,NY
2500,2500,2250, 36 months,11.8,82.8,B,B4,,,OWN,16000,Verified,Dec-18,Current,major_purchase,Major purchase,633xx,MO
12000,12000,12000, 36 months,16.91,427.3,C,C5,President,6 years,RENT,100000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,983xx,WA
11875,11875,11875, 60 months,8.19,241.87,A,A4,Substation Maintainer,10+ years,MORTGAGE,90000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,080xx,NJ
15000,15000,15000, 60 months,11.8,332.16,B,B4,Digital Marketing Manager,1 year,MORTGAGE,100000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,482xx,MI
10000,10000,10000, 36 months,8.81,317.12,A,A5,Property manager,5 years,RENT,60000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,027xx,MA
40000,40000,40000, 60 months,8.19,814.7,A,A4,Business Unit Finance Manager ,10+ years,MORTGAGE,120000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,272xx,NC
14000,14000,14000, 36 months,6.46,428.84,A,A1,Fabrication Development Coordinator,2 years,RENT,60000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,770xx,TX
6000,6000,6000, 36 months,7.02,185.32,A,A2,Dispatcher ,3 years,MORTGAGE,105000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,800xx,CO
1000,1000,1000, 36 months,30.65,42.81,F,F4,Shipping Driver,10+ years,MORTGAGE,75000,Not Verified,Dec-18,Current,other,Other,952xx,CA
15000,15000,15000, 36 months,7.56,467.01,A,A3,,< 1 year,MORTGAGE,105000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,852xx,AZ
7000,7000,7000, 36 months,10.33,226.96,B,B1,,,MORTGAGE,40000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,015xx,MA
30000,30000,30000, 60 months,10.33,642.3,B,B1,Special Education Teacher,9 years,OWN,147000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,925xx,CA
7200,7200,7200, 36 months,15.02,249.67,C,C3,Teacher assistant,10+ years,MORTGAGE,30305,Source Verified,Dec-18,Current,home_improvement,Home improvement,211xx,MD
29000,29000,29000, 36 months,7.02,895.71,A,A2,Sr Project Manager,< 1 year,RENT,,Not Verified,Dec-18,Fully Paid,debt_consolidation,Debt consolidation,100xx,NY
22400,22400,22400, 60 months,11.8,496.02,B,B4,Operations Mgr,10+ years,MORTGAGE,100000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,160xx,PA
12000,12000,12000, 36 months,7.02,370.64,A,A2,,,MORTGAGE,90000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,023xx,MA
10000,10000,10000, 60 months,19.92,264.5,D,D3,Quality Assurance,7 years,RENT,110800,,Dec-18,Current,debt_consolidation,Debt consolidation,672xx,KS
6000,6000,6000, 36 months,10.72,195.64,B,B2,Investigator 1,1 year,,30000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,765xx,TX
30000,30000,30000, 60 months,8.19,611.03,A,A4,Logistics manager,10+ years,MORTGAGE,260000,,Dec-18,Current,other,Other,275xx,NC
10000,10000,10000, 36 months,15.02,346.76,C,C3,Operations ,10+ years,RENT,,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,570xx,SD
10000,10000,10000, 36 months,7.02,308.87,A,A2,Director of Downtown Development Auth.,3 years,MORTGAGE,49000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,300xx,GA
25000,25000,25000, 60 months,10.33,535.25,B,B1,Packaging Lead,5 years,RENT,75000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,195xx,PA
8000,8000,8000, 36 months,8.19,251.4,A,A4,Machinist,1 year,MORTGAGE,45000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,765xx,TX
20000,20000,20000, 60 months,8.19,407.35,A,A4,Director of Digital Media,4 years,MORTGAGE,226514,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,386xx,MS
40000,40000,40000, 60 months,11.8,885.75,B,B4,Vice President,8 years,,,,Dec-18,Current,credit_card,Credit card refinancing,145xx,NY
30000,30000,30000, 60 months,13.56,691.23,C,C1,CBTI,10+ years,MORTGAGE,85000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,809xx,CO
6000,6000,6000, 36 months,8.81,190.27,A,A5,,< 1 year,RENT,25000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,920xx,CA
20000,20000,20000, 36 months,15.02,693.51,C,C3,,< 1 year,MORTGAGE,260000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,900xx,CA
40000,40000,40000, 36 months,8.19,1256.97,A,A4,International Representative,10+ years,MORTGAGE,177000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,684xx,NE
1000,1000,1000, 36 months,11.31,32.89,B,B3,,,RENT,16092,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,444xx,OH
4500,4500,4500, 36 months,11.8,149.04,B,B4,Purchasing Manager,10+ years,MORTGAGE,100000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,986xx,WA
6000,6000,6000, 36 months,6.46,183.79,A,A1,City letter carrier,6 years,MORTGAGE,98000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,481xx,MI
6050,6050,6050, 36 months,8.19,190.12,A,A4,dsp,2 years,RENT,35000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,104xx,NY
24000,24000,24000, 36 months,7.56,747.22,A,A3,Assurance Senior Manager,8 years,RENT,155000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,907xx,CA
15000,15000,15000, 36 months,23.4,583.78,E,E1,Project Manager,10+ years,MORTGAGE,70000,,Dec-18,Current,debt_consolidation,Debt consolidation,351xx,AL
10000,10000,10000, 36 months,11.31,328.86,B,B3,Sr. Customer Care Associate,3 years,,45000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,761xx,TX
12000,12000,12000, 36 months,8.81,380.54,A,A5,Conductor,8 years,MORTGAGE,,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,935xx,CA
9600,9600,9600, 36 months,14.47,330.31,C,C2,Facilitator,2 years,RENT,,Not Verified,Dec-18,Current,moving,Moving and relocation,925xx,CA
20000,20000,20000, 36 months,24.37,788.55,E,E2,Executive Director,10+ years,RENT,50000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,971xx,OR
30000,30000,30000, 60 months,15.02,714.02,C,C3,Rn,10+ years,MORTGAGE,82000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,143xx,NY
12000,12000,12000, 36 months,12.98,404.22,B,B5,Detective Sgt,10+ years,RENT,140000,Not Verified,Dec-18,Current,major_purchase,Major purchase,210xx,MD
9000,9000,9000, 36 months,6.46,275.68,A,A1,Service Sales Rep,10+ years,MORTGAGE,59000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,208xx,MD
20000,20000,20000, 36 months,6.46,612.62,,,Art Director,2 years,RENT,,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,112xx,NY
20000,20000,20000, 36 months,8.19,628.49,A,A4,Accounting,10+ years,OWN,85000,Not Verified,Dec-18,Current,small_business,Business,774xx,TX
8500,8500,8500, 36 months,6.46,260.37,A,A1,Mechanic,10+ years,MORTGAGE,130000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,953xx,CA
10000,10000,10000, 36 months,8.19,314.25,A,A4,Physical Therapist Assistant ,4 years,RENT,55000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,480xx,MI
3000,3000,3000, 36 months,18.94,109.88,D,D2,General labor,< 1 year,OWN,50000,Source Verified,Dec-18,Current,home_improvement,Home improvement,606xx,IL
10000,10000,10000, 36 months,8.19,314.25,A,A4,Registered nurse,4 years,,60000,Not Verified,Dec-18,Current,other,Other,827xx,WY
30000,30000,30000, 60 months,11.8,664.31,B,B4,HR and Plant Administrator ,10+ years,MORTGAGE,70000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,953xx,CA
9600,9600,9600, 36 months,16.14,338.18,C,C4,Administration ,10+ years,MORTGAGE,73000,,Dec-18,Current,other,Other,082xx,NJ
5000,5000,5000, 36 months,20.89,188.1,D,D4,Loan Officer ,5 years,MORTGAGE,60000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,471xx,IN
10000,10000,10000, 36 months,16.14,352.27,C,C4,Production Programmer ,7 years,,52000,Verified,Dec-18,Current,credit_card,Credit card refinancing,432xx,OH
10000,10000,9750, 36 months,11.31,328.86,,,cook,< 1 year,,55000,Verified,Dec-18,Current,credit_card,Credit card refinancing,548xx,WI
8000,8000,8000, 36 months,6.46,245.05,A,A1,Stylist,5 years,RENT,70000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,208xx,MD
35000,35000,35000, 36 months,13.56,1188.76,C,C1,Sr.Developer,1 year,RENT,92000,,Dec-18,Current,credit_card,Credit card refinancing,600xx,IL
30375,30375,30375, 60 months,10.72,656.2,B,B2,SR UW,1 year,MORTGAGE,207000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,322xx,FL
5000,5000,5000, 36 months,20.89,188.1,D,D4,Foreman,1 year,OWN,100000,Not Verified,Dec-18,Current,other,Other,168xx,PA
5500,5500,5500, 36 months,7.02,169.88,A,A2,Family Experience Concierge,10+ years,MORTGAGE,29000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,300xx,GA
30000,30000,30000, 36 months,8.19,942.73,A,A4,Senior Account Manager ,1 year,MORTGAGE,250000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,775xx,TX
19200,19200,19200, 60 months,11.8,425.16,B,B4,Manager,10+ years,,93600,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,183xx,PA
40000,40000,40000, 36 months,8.81,1268.46,A,A5,Executive Quality Director,3 years,RENT,,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,971xx,OR
40000,40000,40000, 36 months,6.46,1225.24,A,A1,Portfolio Finance Advisor,10+ years,MORTGAGE,300000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,600xx,IL
20000,20000,20000, 36 months,10.72,652.13,B,B2,driver,10+ years,MORTGAGE,105000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,217xx,MD
3600,3600,3600, 36 months,10.72,117.39,B,B2,Fire Fighter,< 1 year,RENT,50000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,923xx,CA
12000,12000,12000, 36 months,8.19,377.09,A,A4,teacher,10+ years,,84000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,955xx,CA
24000,24000,24000, 36 months,7.02,741.27,,,Outside Sales Manager,10+ years,MORTGAGE,85000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,585xx,ND
20000,20000,20000, 60 months,17.97,507.55,D,D1,Machine operator,10+ years,MORTGAGE,55000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,608xx,IL
25000,25000,25000, 36 months,8.19,785.61,A,A4,Escrow Officer,6 years,,85000,Verified,Dec-18,Current,credit_card,Credit card refinancing,949xx,CA
10000,10000,10000, 36 months,8.81,317.12,A,A5,Supt. Secretary,9 years,OWN,41000,Not Verified,Dec-18,Current,major_purchase,Major purchase,793xx,TX
10000,10000,10000, 36 months,16.14,352.27,C,C4,Registered Nurse,8 years,MORTGAGE,105000,Not Verified,Dec-18,Current,home_improvement,Home improvement,239xx,VA
21000,21000,21000, 36 months,17.97,758.89,,,,< 1 year,RENT,150000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,322xx,FL
20000,20000,20000, 60 months,13.56,460.82,C,C1,Attorney,10+ years,,187000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,207xx,MD
3000,3000,2750, 36 months,10.72,97.82,B,B2,Registered nurse,< 1 year,OWN,60000,Not Verified,Dec-18,Current,vacation,Vacation,140xx,NY
7500,7500,7500, 36 months,6.46,229.74,A,A1,Technical Writer,< 1 year,OWN,45000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,840xx,UT
26500,26500,26500, 36 months,16.14,933.5,C,C4,Speech language therapist assistant,3 years,RENT,150000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,925xx,CA
20975,20975,20975, 36 months,8.19,659.13,A,A4,Project Director,2 years,,165000,Verified,Dec-18,Late (31-120 days),debt_consolidation,Debt consolidation,194xx,PA
6600,6600,6600, 36 months,7.02,203.85,,,Office manager,1 year,,39000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,341xx,FL
40000,40000,40000, 60 months,8.19,814.7,A,A4,,< 1 year,OWN,80000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,253xx,WV
25000,25000,25000, 60 months,12.98,568.58,B,B5,Expedite,10+ years,RENT,91000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,982xx,WA
20000,20000,20000, 60 months,14.47,470.26,C,C2,Automotive Tech,1 year,MORTGAGE,41600,,Dec-18,Current,debt_consolidation,Debt consolidation,982xx,WA
5000,5000,5000, 36 months,16.14,176.14,,,Tax Preparer,10+ years,MORTGAGE,50000,Source Verified,Dec-18,Current,home_improvement,Home improvement,925xx,CA
10000,10000,10000, 60 months,11.31,218.98,B,B3,Customer Service,3 years,MORTGAGE,42000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,023xx,MA
15000,15000,15000, 36 months,8.81,475.68,A,A5,Corporate Director,5 years,MORTGAGE,185000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,300xx,GA
32475,32475,32475, 60 months,10.33,695.29,,,,< 1 year,RENT,40000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,208xx,MD
10000,10000,10000, 36 months,20.89,376.19,D,D4,Lead IT Analyst,< 1 year,MORTGAGE,156000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,024xx,MA
4000,4000,4000, 36 months,11.8,132.48,B,B4,Machine Operator ,10+ years,MORTGAGE,95000,Not Verified,Dec-18,Current,other,Other,608xx,IL
20000,20000,20000, 60 months,16.14,487.86,C,C4,Driver,3 years,MORTGAGE,60000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,322xx,FL
19800,19800,19800, 60 months,15.02,471.25,,,Customer Service,10+ years,MORTGAGE,51000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,276xx,NC
35000,35000,35000, 60 months,8.19,712.87,A,A4,,,MORTGAGE,97000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,410xx,KY
2000,2000,1975, 36 months,15.02,69.36,C,C3,labor,3 years,RENT,,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,925xx,CA
10000,10000,10000, 36 months,7.56,311.34,A,A3,Truck Driver,3 years,MORTGAGE,68000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,462xx,IN
11500,11500,11500, 36 months,10.33,372.86,B,B1,SLP,5 years,MORTGAGE,63751,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,402xx,KY
40000,40000,40000, 36 months,6.46,1225.24,A,A1,Engineering Manager,10+ years,,150000,,Dec-18,Current,debt_consolidation,Debt consolidation,774xx,TX
10000,10000,10000, 60 months,26.31,301.25,E,E4,INSTITUTIONAL AID,10+ years,MORTGAGE,47000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
10000,10000,10000, 60 months,13.56,230.41,C,C1,Operations manager ,10+ years,RENT,56000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,972xx,OR
3000,3000,3000, 36 months,8.81,95.14,A,A5,Welder,1 year,MORTGAGE,75000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,791xx,TX
30000,30000,30000, 60 months,10.72,648.1,B,B2,Manager ,1 year,RENT,280000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,935xx,CA
16000,16000,16000, 60 months,11.8,354.3,B,B4,Supervisor,10+ years,MORTGAGE,62000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,301xx,GA
15000,15000,15000, 36 months,8.81,475.68,A,A5,Community Association Manager,1 year,RENT,68000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,600xx,IL
8750,8750,8750, 36 months,24.37,344.99,E,E2,,,OWN,25000,Verified,Dec-18,Current,credit_card,Credit card refinancing,039xx,ME
10000,10000,10000, 60 months,18.94,259.08,D,D2,Electrician,10+ years,MORTGAGE,300000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,100xx,NY
21000,21000,21000, 60 months,12.98,477.6,,,President,10+ years,MORTGAGE,485000,Source Verified,Dec-18,Current,major_purchase,Major purchase,730xx,OK
18500,18500,18500, 60 months,11.8,409.66,B,B4,"Lead, Data Engineer",10+ years,MORTGAGE,110000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,331xx,FL
4000,4000,4000, 36 months,18.94,146.51,,,Production operator ,10+ years,OWN,75000,Verified,Dec-18,Current,vacation,Vacation,705xx,LA
10000,10000,10000, 36 months,7.56,311.34,,,Message  Therapist,4 years,MORTGAGE,35000,,Dec-18,Current,credit_card,Credit card refinancing,972xx,OR
15000,15000,15000, 36 months,23.4,583.78,E,E1,maintence supevisor,10+ years,MORTGAGE,90000,,Dec-18,Current,debt_consolidation,Debt consolidation,923xx,CA
24000,24000,24000, 60 months,17.97,609.06,D,D1,Director Engineering,< 1 year,RENT,250000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,921xx,CA
18000,18000,18000, 36 months,11.31,591.95,B,B3,Superintendent ,8 years,MORTGAGE,132000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,727xx,AR
16000,16000,16000, 60 months,15.02,380.81,C,C3,,< 1 year,RENT,55000,Source Verified,Dec-18,Current,small_business,Business,031xx,NH
10000,10000,10000, 36 months,19.92,371.23,D,D3,,,MORTGAGE,55644,Source Verified,Dec-18,Current,home_improvement,Home improvement,112xx,NY
20000,20000,20000, 36 months,16.91,712.16,C,C5,co owner,10+ years,OWN,40000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,761xx,TX
20000,20000,20000, 36 months,15.02,693.51,C,C3,Director of Operations,2 years,MORTGAGE,224000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,750xx,TX
2000,2000,1725, 36 months,12.98,67.37,B,B5,Production Superintendant,10+ years,RENT,120000,Not Verified,Dec-18,Current,other,Other,440xx,OH
15000,15000,15000, 36 months,11.8,496.79,B,B4,Strategic Account Manager,2 years,RENT,120000,Not Verified,Dec-18,Current,other,Other,946xx,CA
15000,15000,15000, 36 months,6.46,459.47,A,A1,,,MORTGAGE,95000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,604xx,IL
35000,35000,35000, 60 months,14.47,822.95,C,C2,Registered Nurse,10+ years,RENT,89000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,080xx,NJ
10000,10000,10000, 36 months,6.46,306.31,A,A1,Painter,2 years,,35000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,600xx,IL
22000,22000,22000, 36 months,7.56,684.95,A,A3,,,OWN,13000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,243xx,VA
30000,30000,30000, 36 months,11.31,986.58,,,Road Driver,10+ years,MORTGAGE,146332,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,630xx,MO
15000,15000,15000, 36 months,7.02,463.3,A,A2,Associate Director,10+ years,RENT,63500,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,857xx,AZ
17000,17000,17000, 36 months,7.56,529.28,A,A3,,< 1 year,MORTGAGE,115000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,295xx,SC
22600,22600,22600, 60 months,10.33,483.87,B,B1,Loan Officer,2 years,RENT,104000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,852xx,AZ
6000,6000,6000, 36 months,8.81,190.27,A,A5,Registered nurse,6 years,MORTGAGE,80000,Source Verified,Dec-18,Current,home_improvement,Home improvement,160xx,PA
11000,11000,11000, 36 months,8.81,348.83,A,A5,foreman,10+ years,MORTGAGE,58080,,Dec-18,Current,debt_consolidation,Debt consolidation,173xx,PA
4000,4000,4000, 36 months,8.19,125.7,A,A4,General manager ,6 years,RENT,56000,,Dec-18,Current,house,Home buying,970xx,OR
9000,9000,9000, 36 months,8.81,285.41,,,Assistant Vice President,8 years,RENT,90000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,114xx,NY
11000,11000,11000, 36 months,8.81,348.83,A,A5,Faculty Instructor,3 years,RENT,75000,,Dec-18,Current,credit_card,Credit card refinancing,329xx,FL
20000,20000,20000, 36 months,7.02,617.73,A,A2,QA Specialist ,10+ years,MORTGAGE,85000,Verified,Dec-18,Current,other,Other,431xx,OH
26000,26000,26000, 60 months,22.35,723.28,D,D5,Customer Service Rep,10+ years,,45000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,228xx,VA
21000,21000,21000, 60 months,11.8,465.02,B,B4,meat manager,10+ years,MORTGAGE,50000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,491xx,MI
8800,8800,8800, 36 months,24.37,346.97,E,E2,Headlead,3 years,,60000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,761xx,TX
11375,11375,11375, 60 months,18.94,294.7,D,D2,IS Project Director,10+ years,MORTGAGE,175000,Source Verified,Dec-18,Current,home_improvement,Home improvement,956xx,CA
5500,5500,5500, 36 months,20.89,206.91,D,D4,Manager,10+ years,MORTGAGE,139500,Source Verified,Dec-18,Current,vacation,Vacation,327xx,FL
13000,13000,13000, 60 months,20.89,350.89,D,D4,Materials Team Lead,3 years,MORTGAGE,39000,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,307xx,GA
14400,14400,14400, 60 months,13.56,331.79,C,C1,Environmental Manager,< 1 year,MORTGAGE,135000,,Dec-18,Current,debt_consolidation,Debt consolidation,463xx,IN
30000,30000,30000, 36 months,8.19,942.73,A,A4,maintaince,9 years,OWN,64000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,996xx,AK
40000,40000,40000, 36 months,8.19,1256.97,A,A4,Finance Consultant,4 years,OWN,200000,Source Verified,Dec-18,Current,small_business,Business,605xx,IL
30000,30000,30000, 36 months,18.94,1098.78,D,D2,Administrator,10+ years,RENT,50000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,917xx,CA
2500,2500,2500, 36 months,7.02,77.22,A,A2,Carpenter apprentice,1 year,RENT,48000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,908xx,CA
14500,14500,14500, 36 months,10.72,472.8,B,B2,Medical Office Coordinator,< 1 year,MORTGAGE,31200,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,080xx,NJ
26000,26000,26000, 60 months,16.14,634.21,,,Service Manager,1 year,RENT,60000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,928xx,CA
36000,36000,36000, 36 months,10.72,1173.83,B,B2,Sr. Sales Director,1 year,RENT,200000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,902xx,CA
16000,16000,16000, 36 months,12.98,538.95,B,B5,,2 years,RENT,25000,Source Verified,Dec-18,Current,major_purchase,Major purchase,971xx,OR
10000,10000,10000, 60 months,19.92,264.5,D,D3,Maintenance Engineer,2 years,MORTGAGE,68000,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,550xx,MN
8400,8400,8400, 36 months,14.47,289.02,C,C2,Teacher,10+ years,MORTGAGE,106000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,984xx,WA
30000,30000,30000, 36 months,18.94,1098.78,D,D2,Sales / QC Manager,2 years,MORTGAGE,150000,,Dec-18,Current,other,Other,451xx,OH
30000,30000,30000, 36 months,18.94,1098.78,D,D2,Industrial Lift Truck Operator (ILTO),10+ years,MORTGAGE,85000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,142xx,NY
28000,28000,28000, 36 months,7.56,871.75,,,Electrician,1 year,RENT,58000,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,972xx,OR
10700,10700,10700, 36 months,6.46,327.75,A,A1,Elementary Principal,10+ years,OWN,70000,,Dec-18,Current,credit_card,Credit card refinancing,396xx,MS
5000,5000,5000, 36 months,12.98,168.43,B,B5,Operations Manager ,6 years,,123000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,982xx,WA
40000,40000,40000, 36 months,11.8,1324.76,B,B4,Assitant,3 years,RENT,85000,Verified,Dec-18,Current,home_improvement,Home improvement,300xx,GA
30000,30000,30000, 36 months,6.46,918.93,A,A1,Maintenance mechanic ,5 years,MORTGAGE,58000,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,199xx,DE
8000,8000,8000, 36 months,11.31,263.09,B,B3,Courier,10+ years,RENT,63000,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,980xx,WA
